Marca;Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría
HONDA;FIT;2013;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2013;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;FIT;2013;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2014;AUT;Gasolina;4;185;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2015;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA6;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA6;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
FORD;FOCUS;2017;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2017;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2018;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
MERCEDES;B 180;2018;AUT;Gasolina;4;122;1,6;AUTOS COMPACTOS
MERCEDES;B 180;2016;AUT;Gasolina;4;122;1,6;AUTOS COMPACTOS
MERCEDES;A180;2013;AUT;Gasolina;4;121;1,6;AUTOS COMPACTOS
MERCEDES;A200;2013;AUT;Gasolina;4;154;1,6;AUTOS COMPACTOS
FORD;FOCUS;2015;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
HONDA;CITY;2011;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2011;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2012;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2012;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2013;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2013;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2014;CVT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2014;CVT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2016;CVT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2016;CVT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2016;CVT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2017;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2017;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2017;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;AUT;Gasolina;4;118;1,5;AUTOS COMPACTOS
MAZDA;MAZDA6;2016;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA6;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA6;2017;AUT;Gasolina;4;188;2,5;AUTOS COMPACTOS
NISSAN;SENTRA;2017;MAN;Gasolina;4;129;1,8;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
MAZDA;MAZDA3;2011;M5;Gasolina;4;148;2;AUTOS COMPACTOS
SEAT;TOLEDO;2015;MAN;Gasolina;4;105;1,6;AUTOS COMPACTOS
RENAULT;STEPWAY;2011;MAN;Gasolina;4;110;1,6;AUTOS COMPACTOS
RENAULT;STEPWAY;2012;MAN;Gasolina;4;103;1,6;AUTOS COMPACTOS
DODGE;DART;2013;MAN;Gasolina;4;160;1,4;AUTOS COMPACTOS
RENAULT;STEPWAY;2013;MAN;Gasolina;4;103;1,6;AUTOS COMPACTOS
RENAULT;STEPWAY;2014;MAN;Gasolina;4;103;1,6;AUTOS COMPACTOS
NISSAN;SENTRA;2011;CVT;Gasolina;4;140;2;AUTOS COMPACTOS
NISSAN;SENTRA;2012;CVT;Gasolina;4;140;2;AUTOS COMPACTOS
NISSAN;JUKE;2014;MAN;Gasolina;4;188;1,6;AUTOS COMPACTOS
NISSAN;JUKE;2015;MAN;Gasolina;4;188;1,6;AUTOS COMPACTOS
NISSAN;JUKE;2016;MAN;Gasolina;4;188;1,6;AUTOS COMPACTOS
MITSUBISHI;LANCER;2015;MAN;Gasolina;4;152;2;AUTOS COMPACTOS
MITSUBISHI;LANCER;2015;CVT;Gasolina;4;152;2;AUTOS COMPACTOS
HONDA;CIVIC;2011;M5;Gasolina;4;140;1,8;AUTOS COMPACTOS
HONDA;CIVIC;2011;M5;Gasolina;4;140;1,8;AUTOS COMPACTOS
HONDA;CIVIC;2011;M5;Gasolina;4;140;1,8;AUTOS COMPACTOS
DODGE;VISION;2016;DUALOGIC;Gasolina;4;115;1,6;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2014;MAN;Gasolina;4;145;1,8;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2015;MAN;Gasolina;4;145;1,8;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2016;MAN;Gasolina;4;145;1,8;AUTOS COMPACTOS
VW;GOLF;2016;DSG;Gasolina;4;220;2;AUTOS COMPACTOS
VW;GOLF;2017;DSG;Gasolina;4;220;2;AUTOS COMPACTOS
MAZDA;MAZDA6;2016;MAN;Gasolina;4;188;2,5;AUTOS COMPACTOS
VW;GOLF;2013;MAN;Gasolina;4;160;1,4;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2014;AUT;Gasolina;4;145;1,8;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2015;AUT;Gasolina;4;145;1,8;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2016;AUT;Gasolina;4;145;1,8;AUTOS COMPACTOS
SEAT;TOLEDO;2013;MAN;Gasolina;4;105;1,6;AUTOS COMPACTOS
CHEVROLET;CRUZE;2014;MAN;Gasolina;4;138;1,8;AUTOS COMPACTOS
CHEVROLET;CRUZE;2015;MAN;Gasolina;4;138;1,8;AUTOS COMPACTOS
KIA;FORTE;2018;AUT;Gasolina;4;150;2;AUTOS COMPACTOS
CHEVROLET;CRUZE;2016;MAN;Gasolina;4;139;1,8;AUTOS COMPACTOS
MERCEDES;A180;2013;MAN;Gasolina;4;121;1,6;AUTOS COMPACTOS
MERCEDES;A200;2013;MAN;Gasolina;4;154;1,6;AUTOS COMPACTOS
CHEVROLET;MALIBU;2014;AUT;Gasolina;4;196;2,5;AUTOS COMPACTOS
CHEVROLET;MALIBU;2014;AUT;Gasolina;4;196;2,5;AUTOS COMPACTOS
CHEVROLET;MALIBU;2015;AUT;Gasolina;4;196;2,5;AUTOS COMPACTOS
CHEVROLET;MALIBU;2015;AUT;Gasolina;4;196;2,5;AUTOS COMPACTOS
NISSAN;SENTRA;2011;MAN;Gasolina;4;140;2;AUTOS COMPACTOS
NISSAN;SENTRA;2012;MAN;Gasolina;4;140;2;AUTOS COMPACTOS
VW;BEETLE;2015;DSG;Gasolina;4;210;2;AUTOS COMPACTOS
KIA;OPTIMA;2017;AUT;Gasolina;4;185;2,4;AUTOS COMPACTOS
KIA;OPTIMA;2018;AUT;Gasolina;4;185;2,4;AUTOS COMPACTOS
KIA;OPTIMA;2016;AUT;Gasolina;4;185;2,4;AUTOS COMPACTOS
KIA;FORTE;2016;MAN;Gasolina;4;158;2;AUTOS COMPACTOS
MITSUBISHI;LANCER;2014;MAN;Gasolina;4;150;2;AUTOS COMPACTOS
MITSUBISHI;LANCER;2014;CVT;Gasolina;4;150;2;AUTOS COMPACTOS
NISSAN;TIIDA;2016;AUT;Gasolina;4;125;1,8;AUTOS COMPACTOS
VW;BEETLE;2013;DSG;Gasolina;4;200;2;AUTOS COMPACTOS
HONDA;CITY;2014;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
VW;JETTA;2015;MAN;Gasolina;4;210;2;AUTOS COMPACTOS
HONDA;CITY;2016;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2016;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2017;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2017;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
HONDA;CITY;2018;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS
MITSUBISHI;LANCER;2011;MAN;Gasolina;4;152;2;AUTOS COMPACTOS
MITSUBISHI;LANCER;2012;MAN;Gasolina;4;152;2;AUTOS COMPACTOS
MITSUBISHI;LANCER;2013;MAN;Gasolina;4;152;2;AUTOS COMPACTOS
KIA;SOUL;2017;AUT;Gasolina;4;152;2;AUTOS COMPACTOS
KIA;SOUL;2018;AUT;Gasolina;4;152;2;AUTOS COMPACTOS
KIA;SOUL;2016;AUT;Gasolina;4;152;2;AUTOS COMPACTOS
MERCEDES;B180;2013;AUT;Gasolina;4;121;1,6;AUTOS COMPACTOS
KIA;FORTE;2017;AUT;Gasolina;4;150;2;AUTOS COMPACTOS
NISSAN;TIIDA;2016;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
FORD;FOCUS;2016;MAN;Gasolina;4;160;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2011;AUT;Gasolina;4;148;2;AUTOS COMPACTOS
NISSAN;TIIDA;2011;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2012;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
DODGE;DART;2013;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
NISSAN;TIIDA;2013;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
VW;BEETLE;2014;DSG;Gasolina;4;210;2;AUTOS COMPACTOS
VW;JETTA;2015;DSG;Gasolina;4;210;2;AUTOS COMPACTOS
KIA;FORTE;2016;AUT;Gasolina;4;158;2;AUTOS COMPACTOS
HONDA;CIVIC;2011;AUT;Gasolina;4;140;1,8;AUTOS COMPACTOS
HONDA;CIVIC;2011;AUT;Gasolina;4;140;1,8;AUTOS COMPACTOS
HONDA;CIVIC;2011;AUT;Gasolina;4;140;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2011;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2012;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2013;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2014;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
NISSAN;TIIDA;2015;MAN;Gasolina;4;125;1,8;AUTOS COMPACTOS
KIA;SOUL;2016;MAN;Gasolina;4;122;1,6;AUTOS COMPACTOS
CHEVROLET;CRUZE;2016;AUT;Gasolina;4;138;1,4;AUTOS COMPACTOS
